GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
310M100US32060,32060,"Marion-Herrin, IL Micro Area",25953,1127,17680,1135,N,N,8273,1180,8.3,2.2,5.1,2.2,N,N,15.9,6.1,5.6,1.7,2.8,1.7,N,N,10.7,4.4,15.3,3.3,8.5,3.3,N,N,29.9,7.4,13.0,3.8,12.7,4.4,N,N,14.5,6.6,14.0,3.2,14.6,4.0,N,N,12.5,4.6,20.1,3.4,25.3,5.1,N,N,9.8,4.8,11.7,2.3,15.5,3.4,N,N,1.9,1.7,8.4,2.2,10.6,2.8,N,N,3.4,3.3,1.8,1.1,2.6,1.5,N,N,0.0,2.0,2.0,1.3,2.3,1.5,N,N,1.4,2.3,43709,2407,58528,6403,63252,5380,22309,2573,57565,6535,65253,4774,N,N,40051,17329,24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X)
310M100US32100,32100,"Marquette, MI Micro Area",27094,1167,16122,1021,N,N,10972,1168,8.4,1.9,3.3,1.6,N,N,16.0,4.3,6.6,2.1,2.5,1.2,N,N,13.3,4.7,13.3,2.5,7.5,2.6,N,N,21.5,5.5,12.1,2.7,9.0,2.2,N,N,17.3,5.7,15.1,3.1,16.4,4.0,N,N,13.3,4.9,18.8,2.3,23.4,3.3,N,N,11.1,3.6,12.6,2.3,18.0,3.5,N,N,4.5,3.0,9.4,2.1,14.5,3.4,N,N,1.7,1.2,2.2,1.3,2.9,1.9,N,N,1.2,1.4,1.5,0.9,2.5,1.5,N,N,0.0,1.2,44684,2457,61827,5076,67091,3851,24410,3603,55489,3118,71167,5346,N,N,31717,3113,24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.3,(X)
310M100US32220,32220,"Marshall, TX Micro Area",22875,1309,16307,1521,N,N,6568,1064,11.3,3.7,9.7,4.2,N,N,15.4,8.0,6.1,2.7,2.1,2.3,N,N,19.1,9.0,11.6,3.7,9.3,4.2,N,N,17.5,7.7,7.0,2.8,6.1,3.4,N,N,9.1,4.6,15.5,4.1,16.7,4.2,N,N,16.4,8.3,19.5,4.5,23.9,5.6,N,N,9.5,5.1,15.1,3.9,16.7,4.4,N,N,5.3,5.0,9.5,3.4,10.9,3.8,N,N,7.7,6.9,2.2,1.5,1.6,1.3,N,N,0.0,3.0,2.2,1.4,3.1,1.9,N,N,0.0,3.0,47801,8729,59831,8107,67576,4287,23292,9274,59081,5572,65952,7078,N,N,35635,7283,32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.9,(X)
310M100US32270,32270,"Marshfield-Wisconsin Rapids, WI Micro Area",32098,846,19640,1334,N,N,12458,1386,5.4,1.2,2.0,1.0,N,N,11.3,3.1,6.6,1.9,2.3,1.4,N,N,13.8,4.3,14.5,2.2,7.3,2.4,N,N,26.7,5.2,13.7,2.4,11.6,2.8,N,N,17.1,4.5,16.8,2.8,19.4,3.5,N,N,12.8,3.6,19.1,2.7,23.0,3.9,N,N,11.4,3.8,11.4,2.2,15.5,2.9,N,N,4.4,3.1,8.6,2.2,12.9,3.4,N,N,1.8,1.4,2.1,0.9,3.0,1.4,N,N,0.5,0.7,1.9,1.0,3.0,1.6,N,N,0.2,0.3,43319,3645,56913,4444,63809,5734,23989,2715,55607,2951,69984,4437,N,N,31582,2747,21.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),18.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.1,(X)
310M100US32300,32300,"Martinsville, VA Micro Area",27660,1401,18554,1501,N,N,9106,1230,9.8,3.0,6.2,3.1,N,N,19.9,7.0,13.2,3.7,7.1,3.7,N,N,25.7,7.4,17.5,3.8,17.0,4.3,N,N,19.7,7.1,14.3,3.8,14.1,4.4,N,N,13.4,5.5,18.7,3.4,20.0,4.6,N,N,13.8,5.0,16.1,3.8,22.0,5.3,N,N,3.7,2.7,6.9,2.1,8.8,2.9,N,N,2.4,2.3,3.0,1.7,3.8,2.3,N,N,1.2,1.6,0.2,0.3,0.3,0.5,N,N,0.0,2.1,0.4,0.6,0.6,0.8,N,N,0.0,2.1,31492,1664,38447,3575,43799,4884,16857,3988,38932,2881,45662,3745,N,N,23682,3117,32.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.1,(X)
310M100US32420,32420,"Mayagüez, PR Metro Area",39696,1818,26888,1902,N,N,12808,1460,35.3,3.1,28.4,3.9,N,N,56.6,5.6,12.4,2.0,11.0,2.1,N,N,15.0,4.0,19.4,2.8,20.6,3.2,N,N,12.3,3.6,10.9,2.2,13.7,3.2,N,N,6.8,2.9,9.7,2.4,9.8,2.9,N,N,5.8,3.1,4.9,1.5,7.0,2.0,N,N,0.6,0.8,2.6,1.2,3.0,1.6,N,N,1.9,1.3,3.5,1.4,4.6,1.9,N,N,1.1,1.5,0.9,0.6,1.3,0.8,N,N,0.0,1.5,0.4,0.5,0.6,0.8,N,N,0.0,1.5,15864,1140,19056,1620,24569,3135,8634,1228,26225,2766,31530,3705,N,N,13639,2179,18.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),18.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),15.7,(X)
310M100US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",212743,3406,175832,4014,122166,4222,36911,2512,14.1,1.3,11.4,1.3,5.8,1.1,28.0,4.7,9.4,1.1,8.4,1.1,7.0,1.2,15.2,3.0,14.3,1.3,14.4,1.3,12.6,1.7,15.6,2.9,13.6,1.2,14.1,1.3,13.9,1.6,11.3,3.1,15.9,1.2,16.5,1.5,17.7,1.8,11.9,2.9,14.2,1.4,15.4,1.6,17.5,1.9,9.2,2.6,8.6,1.1,9.0,1.2,11.4,1.5,5.3,2.0,6.3,0.7,7.1,0.9,9.2,1.2,1.4,1.0,1.6,0.4,1.8,0.5,2.1,0.6,0.3,0.3,1.9,0.5,1.9,0.6,2.7,0.8,1.7,1.3,33732,1709,36203,1516,43489,2501,18794,2210,47576,1891,49991,1856,58638,2495,32540,4473,31.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.0,(X)
310M100US32740,32740,"Meadville, PA Micro Area",35203,1400,23421,1262,18047,1296,11782,1223,9.0,2.2,5.5,2.2,2.0,1.4,16.8,4.5,8.0,1.6,5.1,1.8,3.0,1.6,15.1,3.8,15.6,2.3,11.5,2.3,7.9,1.9,24.9,4.5,12.4,2.0,11.5,2.2,10.6,2.6,13.6,4.1,18.7,2.5,20.8,3.0,20.9,3.5,13.5,3.8,18.4,2.5,22.5,3.3,26.9,4.2,9.1,3.2,10.4,1.8,13.9,2.5,17.1,3.0,3.3,2.8,5.5,1.4,6.3,1.8,7.9,2.3,3.4,2.4,1.2,0.5,1.7,0.7,2.2,1.0,0.2,0.2,0.9,0.5,1.2,0.7,1.5,0.8,0.3,0.4,38321,2929,47055,2975,55971,3926,22086,1627,47915,2437,55622,3239,N,N,30779,3586,26.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.3,(X)
310M100US32780,32780,"Medford, OR Metro Area",81508,1954,52352,2971,38444,2708,29156,2691,8.0,1.8,5.9,1.8,3.9,1.9,12.3,3.4,8.3,1.8,5.4,1.8,3.4,1.9,14.3,3.5,14.7,2.2,10.2,2.3,7.0,2.2,25.2,4.0,13.1,1.9,13.3,2.2,9.3,2.1,13.5,3.3,16.2,2.0,16.3,2.5,17.1,3.2,15.7,3.5,15.9,2.0,17.7,2.4,20.5,3.0,10.7,2.9,10.3,1.8,13.1,2.3,17.1,3.0,3.8,1.8,8.7,1.7,11.9,2.6,14.0,3.3,2.6,1.0,2.4,0.9,3.2,1.2,3.7,1.5,1.1,1.3,2.3,0.8,3.0,1.0,4.1,1.4,0.9,1.1,40177,2436,49072,2726,60173,3642,24211,2233,54759,2864,64048,3573,N,N,35427,3800,27.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.2,(X)
310M100US32820,32820,"Memphis, TN-MS-AR Metro Area",474304,4957,332539,6827,209061,6086,141765,5157,9.3,0.7,7.2,0.7,1.9,0.5,15.8,1.6,6.4,0.6,4.8,0.7,2.4,0.6,11.3,1.4,11.7,0.8,9.5,1.0,4.8,0.8,18.3,1.7,11.6,0.7,10.4,0.9,7.4,1.0,13.9,1.3,14.9,0.9,14.4,1.0,12.7,1.1,16.1,1.6,17.9,0.9,18.5,1.1,20.3,1.3,15.5,1.6,11.3,0.8,13.7,1.0,18.9,1.3,4.2,0.8,10.7,0.8,13.7,1.0,20.0,1.4,2.6,0.5,3.4,0.4,4.3,0.5,6.3,0.8,1.2,0.5,2.9,0.3,3.6,0.4,5.3,0.7,1.2,0.5,45377,1373,54569,1878,75499,1610,28185,2040,61707,1345,70489,1794,89605,2314,37986,1596,32.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.5,(X)
