Id,Id2,Geography,GEOGRAPHIC AREA CODES - Place (FIPS),GEOGRAPHIC AREA CODES - Place Size Code,AREA CHARACTERISTICS - Area (Land),Land Area (square miles),AREA CHARACTERISTICS - Area (Water),AREA CHARACTERISTICS - Functional Status Code,2010 Population,Population Density (persons / sq. mile), Housing Unit Count,Housing Density
1600000US3604143,3604143,"Baldwin CDP, New York",4143,15,7674514,2.963146547,63606,S,24033,8110.634967,8001,2700.170198
1600000US3648010,3648010,"Monsey CDP, New York",48010,14,5886364,2.272737943,35515,S,18412,8101.241965,3836,1687.832076
1600000US0644000,644000,"Los Angeles city, California",44000,22,1213850147,468.6701819,88119442,A,3792621,8092.302747,1413995,3017.036404
1600000US0622594,622594,"Emeryville city, California",22594,14,3226419,1.245727393,1979141,A,10080,8091.657977,6646,5335.035607
1600000US4840188,4840188,"La Esperanza CDP, Texas",40188,5,73413,0.028344919,0,S,229,8079.049378,68,2399.019029
1600000US1274575,1274575,"Virginia Gardens village, Florida",74575,11,762960,0.294580515,0,A,2375,8062.311917,949,3221.530109
1600000US0650398,650398,"National City city, California",50398,17,18847083,7.276899739,4761737,A,58582,8050.406369,16762,2303.453476
1600000US1753377,1753377,"Norridge village, Illinois",53377,14,4688662,1.810302596,0,A,14572,8049.483016,5960,3292.267278
1600000US3644787,3644787,"Malverne village, New York",44787,13,2739702,1.057804901,0,A,8514,8048.743196,3146,2974.083403
1600000US0655728,655728,"Parklawn CDP, California",55728,9,430425,0.166188029,0,S,1337,8045.104155,357,2148.169172
1600000US4822150,4822150,"East Lopez CDP, Texas",22150,4,53540,0.02067191,0,S,166,8030.220545,43,2080.11737
1600000US0646436,646436,"Mayflower Village CDP, California",46436,13,1778769,0.68678658,0,S,5515,8030.151088,1975,2875.711405
1600000US0677924,677924,"Tara Hills CDP, California",77924,13,1653715,0.638502958,0,S,5126,8028.153877,1729,2707.896616
1600000US2476650,2476650,"Takoma Park city, Maryland",76650,14,5392933,2.082223161,13926,A,16715,8027.477705,7162,3439.5929
1600000US2453325,2453325,"Montgomery Village CDP, Maryland",53325,16,10347411,3.995157893,167273,S,32032,8017.705648,12471,3121.528694
1600000US0668252,668252,"San Mateo city, California",68252,17,31415741,12.12968593,9721643,A,97207,8013.975017,40014,3298.848811
1600000US4841566,4841566,"Las Lomas CDP, Texas",41566,12,1018266,0.393154717,0,S,3147,8004.482361,839,2134.019924
1600000US0668308,668308,"San Pasqual CDP, California",68308,11,660679,0.255089599,0,S,2041,8001.110234,961,3767.303741
1600000US2446375,2446375,"Leisure World CDP, Maryland",46375,13,2832211,1.093522827,21767,S,8749,8000.747477,6391,5844.41389
1600000US4203320,4203320,"Aspinwall borough, Pennsylvania",3320,12,907063,0.350218997,88875,A,2801,7997.852837,1497,4274.468296
1600000US5103000,5103000,"Arlington CDP, Virginia",3000,18,67273573,25.97447285,244125,S,207627,7993.501973,105404,4057.984183
1600000US2573440,2573440,"Watertown Town city, Massachusetts",73440,16,10342579,3.993292247,318385,A,31915,7992.152346,15584,3902.544326
1600000US3419130,3419130,"East Franklin CDP, New Jersey",19130,13,2812458,1.085896151,4172,S,8669,7983.268007,2646,2436.697098
1600000US7238370,7238370,"Jayuya zona urbana, Puerto Rico",38370,12,896016,0.345953726,0,S,2759,7975.055012,1261,3644.996147
1600000US0607624,607624,"Bostonia CDP, California",7624,14,4995527,1.92878384,0,S,15379,7973.41811,5893,3055.293122
1600000US4240666,4240666,"Kutztown University CDP, Pennsylvania",40666,12,948171,0.366090885,8278,S,2918,7970.698307,0,0
1600000US3606644,3606644,"Binghamton University CDP, New York",6644,13,2008507,0.775488921,0,S,6177,7965.297545,0,0
1600000US3655530,3655530,"Ossining village, New York",55530,16,8156567,3.149268259,8501933,A,25060,7957.40405,8862,2813.987019
1600000US4826130,4826130,"Flor del Rio CDP, Texas",26130,4,39714,0.015333662,0,S,122,7956.351312,32,2086.91182
1600000US3464620,3464620,"Roselle borough, New Jersey",64620,15,6866107,2.651018846,32524,A,21085,7953.545871,7939,2994.697684
1600000US1704975,1704975,"Bellwood village, Illinois",4975,14,6210583,2.397919604,0,A,19071,7953.144036,6627,2763.645615
1600000US2409500,2409500,"Brentwood town, Maryland",9500,12,992749,0.383302548,0,A,3046,7946.725152,1046,2728.914809
1600000US4236816,4236816,"Indiana borough, Pennsylvania",36816,14,4556535,1.759288074,13110,A,13975,7943.554104,4909,2790.333245
1600000US2455400,2455400,"New Carrollton city, Maryland",55400,14,3959613,1.528815191,0,A,12135,7937.519242,4256,2783.855121
